preco;endereco;metragem;quartos;vagas;banheiros;"
condomínio";"
IPTU";data
"
R$2.741.500
";Rua Constantino de Sousa, Campo Belo;"
166m²";"
3";"
2";"
5";2.000;300;2021-07-20
"
R$620.000
";Rua Paim, Consolação;"
57m²";"
1";"
1";"
1";630;92;2021-07-20
"
R$546.890
";Rua Maracá, Vila Guarani;"
54m²";"
1";"
1";"
1";480;110;2021-07-20
"
R$350.000
";Avenida Lasar Segall, Imirim;"
71m²";"
2";"
1";"
2";460;80;2021-07-20
"
R$534.000
";Rua Brigadeiro Galvão, Barra Funda;"
62m²";"
2";"
1";"
2";;;2021-07-20
"
R$583.000
";Avenida Zelina, Vila Prudente;"
70m²";"
3";"
1";"
2";651;5;2021-07-20
"
R$300.000
";Rua Irineu Maciel, Vila João Batista;"
73m²";"
2";"
2";"
2";;;2021-07-20
"
R$569.000
";Rua Jaguarete, Casa Verde;"
53m²";"
2";"
1";"
2";500;;2021-07-20
"
R$400.000
";São Miguel Paulista, São Paulo;"
100m²";"
3";"
2";"
3";;;2021-07-20
"
R$390.000
";Rua Casa Forte, Água Fria;"
66m²";"
2";"
1";"
2";750;;2021-07-20
"
R$48.000
";Rua Gil Fernandes, Bosque da Saúde;"
95m²";"
3";"
1";"
2";;;2021-07-20
"
R$440.000
";Vila Suzana, São Paulo;"
70m²";"
2";"
1";"
2";600;950;2021-07-20
"
R$630.000
";Rua Doutor Hélio Fidelis, Vila Sao Francisco;"
72m²";"
2";"
1";"
2";580;180;2021-07-20
"
R$450.000
";Rua Jaraguá, Bom Retiro;"
58m²";"
2";"
1";"
2";;;2021-07-20
"
R$450.000
";Jardim Nossa Senhora do Carmo, São Paulo;"
120m²";"
3";"
2";"
3";;;2021-07-20
"
R$400.000
";Rua Benedito Lacerda, Jardim Regina;"
110m²";"
2";"
1";"
2";;;2021-07-20
"
R$436.000
";Rua Capitão Nascimento, Jaçanã;"
67m²";"
3";"
1";"
2";;;2021-07-20
"
R$400.000
";Travessa José Eduardo Raduan, Vila Medeiros;"
111m²";"
3";"
1";"
3";;;2021-07-20
"
R$245.000
";Rua Ministro Edmundo Lins, Ferreira;"
120m²";"
2";"
1";"
2";;;2021-07-20
"
R$390.000
";Jabaquara, São Paulo;"
57m²";"
2";"
1";"
2";585;29;2021-07-20
"
R$950.000
";Rua da Independência, Cambuci;"
78m²";"
3";"
2";"
3";600;250;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
R$222.000
";Rua Serra Dourada, Jardim Itatiaia;"
46-55m²";"
2";"
1";"
1-2";;;2021-07-20
"
R$600.000
";Rua Dom Francisco de Campos Barreto, Nova Campinas;"
73-121m²";"
2-4";"
2";"
3-4";;;2021-07-20
"
R$951.961
";Rua Doutor Liráucio Gomes, Cambuí;"
89-196m²";"
2-3";"
2-4";"
1";;;2021-07-20
"
R$8.500.000
";Avenida Açocê, Moema;"
400m²";"
4";"
5";"
6";6.700;4.200;2021-07-20
"
R$10.600.000
";Rua Inajaroba, Vila Nova Conceição;"
388m²";"
4";"
5";"
5";6.500;2.328;2021-07-20
"
R$1.100.000
";Rua Professor Miguel Milano, Vila Mariana;"
180m²";"
5";;"
5";;520;2021-07-20
"
R$540.000
";Rua Doutor Olavo Egídio, Santana;"
60m²";"
1";"
1";"
2";600;;2021-07-20
"
R$730.000
";Rua João Antônio de Oliveira, Móoca;"
83m²";"
2";"
1";"
2";600;220;2021-07-20
"
R$593.000
";Chácara Inglesa, São Paulo;"
60m²";"
2";"
2";"
2";750;130;2021-07-20
"
R$305.000
";Rua Voluntários da Pátria, Santana;"
36m²";;"
1";"
1";472;217;2021-07-20
"
R$203.000
";Rua Saturnino Pereira, Jardim São Carlos;"
70m²";"
3";"
2";"
3";;;2021-07-20
"
R$470.000
";Avenida Nova Cantareira, Água Fria;"
92m²";"
2";"
2";"
3";450;520;2021-07-20
"
R$545.000
";Rua Bernardo Saião, Brás;"
65m²";"
2";"
1";"
2";500;210;2021-07-20
"
R$498.000
";Rua Cônego José Norberto, Saúde;"
68m²";"
2";"
1";"
2";700;100;2021-07-20
"
R$620.000
";Rua Correia de Lemos, Chácara Inglesa;"
61m²";"
2";"
1";"
3";750;95;2021-07-20
"
R$580.000
";Rua Doutor Mário de Moura e Albuquerque, Jardim Monte Kemel;"
84m²";"
3";"
2";"
2";698;110;2021-07-20
"
R$483.000
";Rua Quararibéia, Vila Isa;"
61m²";"
2";"
1";"
2";500;;2021-07-20
"
R$330.000
";Rua Domingos José Sapienza, Vila Amália;"
50m²";"
2";"
1";"
1";375;80;2021-07-20
"
R$380.000
";Rua Taquarichim, Sacomã;"
250m²";"
4";;"
4";;2.200;2021-07-20
"
R$235.000
";Rua Cornélio de Arzao, Jardim Miriam;"
10m²";"
3";"
2";"
2";;;2021-07-20
"
R$2.150.000
";Campo Belo, São Paulo;"
155m²";"
3";"
3";"
5";1.750;415;2021-07-20
"
R$1.200.000
";Rua Peixoto Gomide, Jardim Paulista;"
70m²";"
2";"
1";"
2";700;243;2021-07-20
"
R$365.000
";Rua David Ben Gurion, Morumbi;"
68m²";"
3";"
1";"
2";400;;2021-07-20
"
R$697.000
";Rua Marcílio Dias, Socorro;"
67m²";"
2";"
1";"
2";450;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
Sobconsulta
";Rua Piquete, Jardim Itamarati;"
56-58m²";"
2";"
1-2";"
1";;;2021-07-20
"
R$676.212
";Rua Piquete, Nova Campinas;"
73-121m²";"
2-3";"
2";"
1-4";;;2021-07-20
"
R$715.896
";Rua Piquete, Jardim Itamarati;"
73-121m²";"
2-4";;"
1";;;2021-07-20
"
R$630.000
";Morumbi, São Paulo;"
87m²";"
3";"
1";"
3";890;108;2021-07-20
"
R$1.050.000
";Rua Turiassú, Perdizes;"
130m²";"
3";"
2";"
3";;;2021-07-20
"
R$380.000
";Avenida Nossa Senhora da Assunção, Butantã;"
58m²";"
3";"
1";"
2";492;;2021-07-20
"
R$650.000
";Rua Otávio de Morais, Jardim Bonfiglioli;"
110m²";"
3";"
2";"
3";;;2021-07-20
"
R$400.000
";Rua Marquês de Valença, Alto da Mooca;"
53m²";"
2";"
1";"
2";700;3;2021-07-20
"
R$348.000
";Rua Itamonte, Vila Medeiros;"
110m²";"
3";"
2";"
2";;180;2021-07-20
"
R$994.500
";Rua Diana, Perdizes;"
75m²";"
3";"
1";"
2";800;1;2021-07-20
"
R$520.000
";Rua Itapiru, Saúde;"
61m²";"
2";"
1";"
2";715;880;2021-07-20
"
R$543.000
";Rua Major Freire, Vila Monte Alegre;"
57m²";"
2";"
1";"
2";570;;2021-07-20
"
R$385.000
";Avenida Daniel Malettini, Vila Aurora;"
70m²";"
3";"
2";"
2";600;138;2021-07-20
"
R$380.000
";Vila Santo Estéfano, São Paulo;"
62m²";"
2";"
1";"
2";500;;2021-07-20
"
R$350.000
";Rua Antônio Domingues Freitas, Vila Nova Cachoeirinha;"
63m²";"
3";"
1";"
2";560;76;2021-07-20
"
R$469.000
";Rua Professor João Moreira da Rocha, Vila Império;"
130m²";"
3";"
3";"
3";;130;2021-07-20
"
R$2.300.000
";Rua Fábia, Vila Romana;"
164m²";"
4";"
4";"
6";2.050;12.500;2021-07-20
"
R$530.000
";Bosque da Saúde, São Paulo;"
67m²";"
2";"
2";"
2";466;;2021-07-20
"
R$436.500
";Avenida Santa Marina, Barra Funda;"
60m²";"
2";"
1";"
2";;;2021-07-20
"
R$365.000
";Vila Amália, São Paulo;"
100m²";"
3";"
1";"
2";;;2021-07-20
"
R$740.000
";Rua Coronel Gustavo Santiago, Tatuapé;"
87m²";"
3";"
2";"
2";650;180;2021-07-20
"
R$2.100.000
";Rua Alexandre Dumas, Chácara Santo Antônio;"
143m²";"
3";"
2";"
5";1.100;521;2021-07-20
"
R$395.000
";Avenida Ultramarino, Lauzane Paulista;"
56m²";"
2";"
2";"
2";590;;2021-07-20
"
R$480.000
";Saúde, São Paulo;"
65m²";"
2";"
1";"
2";540;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
;;;;;;;;2021-07-20
"
R$651.165
";Rua Saulo de Carvalho Luz, Chácara Cneo;"
87m²";"
3";"
2";"
2";;;2021-07-20
"
R$959.143
";Rua Azarias de Melo, Taquaral;"
68m²";"
2-4";"
2-3";"
1-6";;;2021-07-20
"
R$546.310
";Rua Doutor Mário Natividade, Taquaral;"
66-89m²";"
2-3";"
2-3";"
1";;;2021-07-20
"
R$660.000
";Vila Mascote, São Paulo;"
82m²";"
2";"
2";"
3";880;259;2021-07-20
"
R$650.000
";Jardins, São Paulo;"
55m²";"
2";"
1";"
2";1.500;332;2021-07-20
"
R$503.000
";Rua Cônego Vicente Miguel Marino, Barra Funda;"
57m²";"
2";"
1";"
2";480;1.200;2021-07-20
"
R$320.000
";Avenida Condessa Elisabeth de Robiano, Tatuapé;"
56m²";"
2";"
1";"
2";380;88;2021-07-20
"
R$370.000
";Rua do Símbolo, Jardim Ampliação;"
115m²";"
3";"
1";"
2";500;123;2021-07-20
"
R$380.000
";Rua Manoel Salgado, Vila Caraguatá;"
57m²";"
2";"
1";"
2";390;;2021-07-20
"
R$335.000
";Rua Jaime Taveira, Penha;"
54m²";"
2";"
1";"
2";299;1;2021-07-20
"
R$490.000
";Rua Maria Carlota, Vila Matilde;"
120m²";"
2";"
2";"
3";;;2021-07-20
"
R$290.000
";Vila Emir, São Paulo;"
48m²";"
2";"
1";"
2";442;;2021-07-20
"
R$900.500
";Rua Ernesto de Castro, Brás;"
121m²";"
3";"
2";"
4";;;2021-07-20
"
R$390.000
";Rua Ibitirama, Vila Prudente;"
55m²";"
2";"
1";"
2";550;25;2021-07-20
"
R$490.000
";Lauzane Paulista, São Paulo;"
140m²";"
2";"
1";"
2";;;2021-07-20
"
R$126.616
";Rua Carixó, Vila Aurora;"
150m²";;;;;;2021-07-20
"
R$280.000
";Estrada do Campo Limpo, Vila Prel;"
54m²";"
2";"
1";"
1";320;2;2021-07-20
"
R$2.370.000
";Rua Salto, Paraíso;"
113m²";"
2";"
2";"
3";1.489;890;2021-07-20
